Datetime,Tweet Id,Tweet,Media,Username,,Tweets,Ano,
2022,"1,58203294338372E+018",Como q os cara acha q o bolsonaro foi bem ontem se nem resposta pras pergunta ele tinha kkkkkkkkkkk,,Guiononato,,35,2022,
2022,"1,58098022111291E+018",@_faitanini Deixa comigo 😍,,Guiononato,,226,2021,
2022,"1,58097942822586E+018",@BornAKang @iago_ferri Diogo defante?,,Guiononato,,401,2020,
2022,"1,57675305446391E+018","Tudo bem ter opinião, mas é impossível ter tanto imbecil igual eu vi no meu Instagram hj kkkkkkkkkkk",,Guiononato,,258,2019,
2022,"1,57345804451984E+018",@anacruzzs Quer um guaraná?,,Guiononato,,19,2018,
2022,"1,55171849377036E+018",@aryeh_93 @IguinFromBrazil Os cara é ligeiro,,Guiononato,,85,2017,
2022,"1,53419068235253E+018",@anacruzzs Eu sou hater,,Guiononato,,0,,
2022,"1,52912956313723E+018",@leozinnoficial Gatilho pfv leozin n te peço mais nada,,Guiononato,,,,
2022,"1,51259762082022E+018",N acredito q eu vou ter aula na sexta NO SHOW DO PLAYBOI CARTI pqp pqp pqp pq pqp,,Guiononato,,,,
2022,"1,5070531447899E+018",Queria tanto um frio nessa porra,,Guiononato,,,,
2022,"1,50594201502822E+018",@Nandamatos09 Vai namora dnv kkkkkkkkkk fraca dms,,Guiononato,,,,
2022,"1,50377147477522E+018",@matue30 Transforma em nft,,Guiononato,,,,
2022,"1,5008625635334E+018",Mais ng nessa cidade e graças a Deus tenho só mais 1 mês e pouco aqui,,Guiononato,,,,
2022,"1,50084040468987E+018","@analuferreiraa_ Salvou dms Linda, obg",,Guiononato,,,,
2022,"1,50083853979735E+018",Muta****,,Guiononato,,,,
2022,"1,49975012132357E+018",@alicemarguerit Falou tudo e um pouco mais,,Guiononato,,,,
2022,"1,49906293162712E+018",Se n fosse o equilíbrio entre droga e salada eu tava fudido kkkkkk,,Guiononato,,,,
2022,"1,49728999139064E+018",@Fanti_17 Kkkkkkkkkkk de fato tmj nessa,,Guiononato,,,,
2022,"1,49728887492993E+018",@Fanti_17 Só faltou tirar esse as vezes,,Guiononato,,,,
2022,"1,49699491424831E+018",@Nandamatos09 Tá?,,Guiononato,,,,
2022,"1,49217014243182E+018",@aryeh_93 @iihustlee O cara é um merda kkkkkkk,,Guiononato,,,,
2022,"1,4914703247849E+018","@_faitanini Acredito em deus, isso conta?",,Guiononato,,,,
2022,"1,49147010138792E+018",@aryeh_93 @wyakingj KKKKKKKKK,,Guiononato,,,,
2022,"1,49122786073212E+018",@aryeh_93 N existe ela kkkkkkkkkk,,Guiononato,,,,
2022,"1,49120293020857E+018",@aryeh_93 Vc não…,,Guiononato,,,,
2022,"1,49119764755816E+018",Esquema de sexta e ir comer hamburger sozinho,,Guiononato,,,,
2022,"1,49040102524888E+018",@Lechat_Jean Cada fds e uma cagada diferente kkkkkkk,,Guiononato,,,,
2022,"1,49040087742901E+018",@aryeh_93 Isso q da ser besta kkkkkkkkk,,Guiononato,,,,
2022,"1,48958251226758E+018",@Jeffkkjj @jlodesantoamaro @Sukitabr Sim jeff,,Guiononato,,,,
2022,"1,48867565146497E+018",@aryeh_93 @TayMasterChef N dúvida,,Guiononato,,,,
2022,"1,48621628659831E+018",@Nandamatos09 Q pergunta besta,,Guiononato,,,,
2022,"1,48025230875159E+018",@_faitanini Esse memo e zika,,Guiononato,,,,
2022,"1,48025224413837E+018",@Nandamatos09 Eu sempre ignoro tudo Nd a v,,Guiononato,,,,
2022,"1,47982685655163E+018",Agr q parece o começo da pandemia dnv preciso de uma namorada,,Guiononato,,,,
2022,"1,47982655907901E+018",@chiksterr_ Man aconteceu a mesma coisa com o meu amigo kendel,,Guiononato,,,,
2021,"1,47622578420552E+018",@_faitanini Pernambucanas,,Guiononato,,,,
2021,"1,47367890355004E+018",@deetzlover @madotsukki Meu cu?? 🤔🧐 👀 kinda sus,,Guiononato,,,,
2021,"1,47342695849104E+018",@Lechat_Jean Man tá geral fudidasso seloco,,Guiononato,,,,
2021,"1,4733649123197E+018",@Lechat_Jean Tô nada kkkkkkkkkkkkkk e vc?,,Guiononato,,,,
2021,"1,473364841998E+018",@_faitanini Kkkkkkkkkk dps n sabe da onde pegou,,Guiononato,,,,
2021,"1,473322010617E+018","Mano nunca vi tanto amigo meu doente ao mesmo tempo, tô em shoqq",,Guiononato,,,,
2021,"1,47114334389576E+018",@_faitanini Kd,,Guiononato,,,,
2021,"1,46981816366782E+018",@aventura_do KKKKKKK,,Guiononato,,,,
2021,"1,46908416013652E+018",@aventura_do Sera q consta?,,Guiononato,,,,
2021,"1,46907861417606E+018",@aventura_do Se tivesse alguma pra fz seria bom,,Guiononato,,,,
2021,"1,46857884413114E+018",@polidouchiha Conhece dms,,Guiononato,,,,
2021,"1,46857870433503E+018",@Nandamatos09 Já sei q é feiúra e c nem conta mais as coisa pra mim,,Guiononato,,,,
2021,"1,46795527602856E+018",@Nandamatos09 Qual q foi chará da o salvinho qualquer coisa,,Guiononato,,,,
2021,"1,45821208653488E+018","@lascoolo Caralho lasquinha, tá mandando mtoo",,Guiononato,,,,
2021,"1,45818386755952E+018","@dscplari Kkkkkkkkk foi uma brincadeira, desculpa o mal entendido",,Guiononato,,,,
