Datetime,Tweet Id,Tweet,Media,Username
2021,1392183967827308545,@Ale_fiochi será que se eu pagar uma mensalidade eles mandam uma aqui pra casa?,,arturdmartins
2020,1275513595464429571,#NewProfilePic https://t.co/ud2vlSt5wn,"[Photo(previewUrl='https://pbs.twimg.com/media/EbOI1jaX0AEDMnS?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/EbOI1jaX0AEDMnS?format=jpg&name=large')]",arturdmartins
2020,1251276447265820678,"@nicgmarques e fuma verde, pode?",,arturdmartins
2020,1235978345776463872,@Guiononato finalmente esse comédia rodou 🙏🏽🙏🏽,,arturdmartins
2019,1193196419731070977,@Guiononato 🤷‍♂️🤷‍♂️,,arturdmartins
2019,1193184299203346432,@Guiononato caminho sem volta pai,,arturdmartins
2019,1190655752794451968,@Guiononato glooks g 🤧,,arturdmartins
2019,1190640032358576133,#NewProfilePic https://t.co/4ymzhMSHIV,"[Photo(previewUrl='https://pbs.twimg.com/media/EIYAyyxXYAAaTVI?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/EIYAyyxXYAAaTVI?format=jpg&name=large')]",arturdmartins
2019,1165795980186443786,@jvtamaster 🤧🤧,,arturdmartins
2019,1165789459650162689,🛒🛒 https://t.co/7BKCBQS1OD,"[Photo(previewUrl='https://pbs.twimg.com/media/EC23QDgXsAA_Tbf?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/EC23QDgXsAA_Tbf?format=jpg&name=large')]",arturdmartins
2019,1111265256813330432,@vivobr @jmanzini_ rodo negão,,arturdmartins
2019,1090057060362973185,@jvtamaster você?,,arturdmartins
2019,1089304358578253834,@jvtamaster cai na mão gordão,,arturdmartins
2018,1063806381223043073,#NewProfilePic https://t.co/EswbezJ1cL,"[Photo(previewUrl='https://pbs.twimg.com/media/DsNmQwhVYAANRua?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/DsNmQwhVYAANRua?format=jpg&name=large')]",arturdmartins
2018,1061427804649283585,@mamattos77 princesa 😍,,arturdmartins
2018,1056734950853095425,"@ana__cruzz KKKKKKK c não deu nada nem pro papai que enriqueceu às custas de crimes fiscais, imagina pro filhinho",,arturdmartins
2018,1056727085551620101,"@ana__cruzz melhor de tudo é ver o mlk que pergunta no grupo c tem blitz na estrada, pq dirige sem carta comemorando, tá foda",,arturdmartins
2018,1055254284424671232,@jmanzini_ @dissebk @VinciusLucas7 @BalanPozzi @Ale_fiochi achei a sua https://t.co/bSKUVHEZPn,"[Photo(previewUrl='https://pbs.twimg.com/media/DqUEF2VUUAAt_y-?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/DqUEF2VUUAAt_y-?format=jpg&name=large')]",arturdmartins
2018,1054144920326471680,"@mamattos77 @PerolasdaNBA se esse soco do Ingram pega, mata",,arturdmartins
2018,1053442200464429056,"@jmanzini_ KKKKKKKKKKKK valeu negão, tmj monstro",,arturdmartins
2018,1028318804361850880,@Ale_fiochi samba &gt; rap d mensagem,,arturdmartins
2018,1017426375672770561,@jmanzini_ quando sua vó acha um bong na rua,,arturdmartins
2018,1017241238251204608,https://t.co/Vk50IIH6nj,"[Photo(previewUrl='https://pbs.twimg.com/media/Dh325y8W0AA43Yi?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Dh325y8W0AA43Yi?format=jpg&name=large')]",arturdmartins
2018,1012271791115526144,@jmanzini_ @trouxavcs @Protegera kkkkkkkk vc,,arturdmartins
2018,1008016596168794112,@jmanzini_ @Ale_fiochi sai negao,,arturdmartins
2018,1001279939210072064,"@mamattos77 n erra uma, erra todas",,arturdmartins
2018,954833740970254337,"Pra ganhar intimidade 5 meses, pra perder 5 minutos",,arturdmartins
2018,951987198668177408,@_mateusmonte @thinkervibes com essencia de abacaxi,,arturdmartins
2017,934584919929520129,https://t.co/yLyh3ptcD4,"[Photo(previewUrl='https://pbs.twimg.com/media/DPhQBy5W4AAHzim?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/DPhQBy5W4AAHzim?format=jpg&name=large')]",arturdmartins
2017,934584092301103104,@Ale_fiochi bongadô,,arturdmartins
