Datetime,Tweet Id,Tweet,Media,Username
2022-10-21 18:45:01+00:00,1583529806884671488,mano quem lembra que o arthur aguiar ganhou o bbb esse ano,,zuliajuin
2022-10-21 16:29:05+00:00,1583495597796884488,@coury_julia oq aconteceu,,zuliajuin
2022-10-20 23:47:20+00:00,1583243498878251014,@llorenammariano mano e sua irmã (foi a laura,,zuliajuin
2022-10-20 16:05:20+00:00,1583127234008621056,rip 2 my youth,,zuliajuin
2022-10-19 20:47:38+00:00,1582835889377771520,será que ela eh bonita ou só tem cabelo comprido,,zuliajuin
2022-10-18 22:37:28+00:00,1582501141388357632,cara hj eu tô impossível CHEGA JÚLIA ZUIN CHRGA SE ACALME,,zuliajuin
2022-10-18 15:36:02+00:00,1582395087463804929,CARALHO MANO CARALHO,,zuliajuin
2022-10-11 20:15:31+00:00,1579928703160954880,gnt hj tava tão nervosa que lembrei que esqueci de almoçar,,zuliajuin
2022-10-11 19:03:31+00:00,1579910585709662208,@_anaclarafr bilíngue faz assim,,zuliajuin
2022-10-10 19:45:12+00:00,1579558686724591617,@lauramriano e eu nAO comi! obrigada mamae,,zuliajuin
2022-10-10 19:06:56+00:00,1579549058691387394,AMO NARIZ DE CAO,,zuliajuin
2022-10-09 17:48:28+00:00,1579166922561949698,coringuei,,zuliajuin
2022-10-08 15:15:27+00:00,1578766028523413505,@lauramriano JAJDJSJSJSJA É COM TODOS NÓS,,zuliajuin
2022-10-08 15:13:29+00:00,1578765531284635648,@lauramriano olha o stf,,zuliajuin
2022-10-08 14:55:26+00:00,1578760989691940864,e vamos de golpe 😜,,zuliajuin
2022-10-08 10:12:29+00:00,1578689782989090816,@siteptbr @_anaclarafr,,zuliajuin
2022-10-08 05:38:51+00:00,1578620921400610816,"começou a tocar evidências, para mim o rolê acabou!",,zuliajuin
2022-10-07 12:59:45+00:00,1578369489422336000,@nftbadger @jujusayuri_ @bia_loss agr eu vi,,zuliajuin
2022-10-03 02:43:03+00:00,1576764740130328576,@AliceTomazzetti :(((((((,,zuliajuin
2022-10-03 02:36:58+00:00,1576763209755000833,"vai se fuder a virgínia fonseca tb, mds, que desserviço para a sociedade",,zuliajuin
2022-10-03 02:33:48+00:00,1576762411956436992,vai se fuder PL E NOVO MDS QUE ODIO,,zuliajuin
2022-10-03 02:31:32+00:00,1576761841556279296,@RafaelaMaturana @Spadaciniii socorro,,zuliajuin
2022-10-03 02:30:48+00:00,1576761656402907137,perdi muitos seguidores hj 😍 a limpa orgânica da gata,,zuliajuin
2022-10-03 01:33:02+00:00,1576747119834112000,@_anaclarafr eu,,zuliajuin
2022-10-02 23:18:23+00:00,1576713232450191360,socorro,,zuliajuin
2022-10-02 15:31:38+00:00,1576595772459524097,@AliceTomazzetti SÓ NÃO VÊ QUEM NÃO QUWR,,zuliajuin
2022-10-02 13:33:47+00:00,1576566112413589505,"ATÉ OS ASTROS COLABORANDO PRO LULA GANHAR JÁ NO PRIMEIRO TURNO, ACABOU MERCÚRIO RETRÓGRADO",,zuliajuin
2022-09-30 21:38:17+00:00,1575963266614185985,constantemente coringando,,zuliajuin
2022-09-30 15:15:40+00:00,1575866978199539714,te amo djonga serio https://t.co/Z8uAilGdcc,"[Photo(previewUrl='https://pbs.twimg.com/media/Fd6aqZJXkAAwwig?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Fd6aqZJXkAAwwig?format=jpg&name=large')]",zuliajuin
2022-09-30 03:01:10+00:00,1575682137013227520,⚠️⚠️⚠️ vejam a sequência https://t.co/h5MALF1NiJ,,zuliajuin
2022-09-30 02:15:36+00:00,1575670668057751553,@lauracotidiano reflexo da polarização nessas eleições 😭😭😭,,zuliajuin
2022-09-30 02:14:59+00:00,1575670513032384512,a tebet ta mais de esquerda que o ciro https://t.co/4b9tunUW7H,,zuliajuin
2022-09-30 02:06:48+00:00,1575668455189028864,cadidato padre,,zuliajuin
2022-09-30 01:17:05+00:00,1575655940484833280,abri meu tt só pra postar isso publicamente…,,zuliajuin
2022-09-30 01:08:06+00:00,1575653682859110401,@LauritoYasmim apoio ❤️,,zuliajuin
2022-09-30 00:53:17+00:00,1575649951337414658,@LauritoYasmim obrigada,,zuliajuin
2022-09-30 00:49:28+00:00,1575648994025304069,na minha cabeça o neymar so eh bolsominion pq nao superou a bruna marquezine,,zuliajuin
2022-09-29 17:04:49+00:00,1575532057438060545,GNT EU NUNCA VI UM PROTETOR SOLAR TAO BOM QUANTO O DA EUCERIN MEU DEUS EH O MAIOR,,zuliajuin
2022-09-29 15:08:50+00:00,1575502870308302850,@vianakayq tb acho,,zuliajuin
2022-09-29 02:22:57+00:00,1575310131159613441,hj freud venceu 🙏 https://t.co/lbys2sisaK,,zuliajuin
2022-09-29 02:18:13+00:00,1575308937439625216,pq a isa penna segue o bebe elitube?,,zuliajuin
